state,age,sex,race_ethnicity,citizen,married,school,military,income,public_housing,phone,health,family_size,mother_origin,father_origin
50,16,1,4,1,2,1,0,82400,0,1,2,4,5,1
50,23,0,1,1,2,2,1,17001,0,1,3,1,1,3
50,22,1,1,1,3,3,1,20801,0,1,3,4,3,1
50,17,1,1,1,2,1,1,35500,0,1,3,1,6,1
25,23,1,3,2,1,3,1,25000,0,1,4,3,3,3
25,16,1,3,1,2,1,0,18196,1,1,5,3,6,1
25,22,0,4,1,2,2,1,473339,0,1,1,4,5,5
25,20,1,6,1,2,2,1,287071,0,1,1,4,1,3
25,18,1,4,1,2,2,1,84710,0,1,2,2,5,6
25,17,0,1,1,2,1,1,40828,0,1,3,4,1,3
25,16,1,3,1,2,1,0,59000,0,1,2,4,2,2
25,23,0,1,1,2,2,1,143500,0,1,2,1,3,1
25,23,1,3,1,2,2,1,9600,0,0,2,2,2,3
25,23,0,3,1,2,3,1,57000,0,1,2,4,3,3
25,17,1,3,1,2,1,1,57000,0,1,2,4,3,3
25,21,1,1,2,1,2,1,20479,0,1,2,4,6,6
25,24,0,1,2,2,3,1,66000,0,1,2,1,7,7
25,24,0,1,2,2,3,1,66000,0,1,2,1,7,7
25,23,1,1,1,2,3,1,153474,0,1,1,3,6,6
25,21,1,1,1,2,2,1,153474,0,1,1,3,6,6
25,21,0,3,1,1,2,1,30000,0,1,3,3,4,4
25,24,1,3,1,1,3,1,41048,0,1,3,2,2,2
25,24,1,4,1,2,3,1,95040,0,1,3,2,5,5
25,18,0,3,2,2,1,1,26000,0,1,3,4,3,3
25,17,1,3,2,2,1,1,26000,0,1,3,4,3,3
25,20,1,3,1,2,1,1,38000,0,0,3,5,2,2
25,22,1,3,1,2,2,1,38000,0,0,3,5,2,2
25,21,0,1,1,2,2,1,97000,0,1,1,2,1,6
25,19,0,1,1,2,3,1,124890,0,1,1,3,6,1
25,23,0,1,1,2,3,1,130230,0,1,1,5,5,5
25,17,0,4,1,2,1,1,64412,0,1,1,5,5,5
25,18,0,4,1,2,2,1,64412,0,1,1,5,5,5
25,17,1,4,2,1,1,1,64412,0,1,1,5,5,5
25,19,0,4,2,2,1,1,52234,0,1,1,5,5,5
25,16,1,4,2,2,1,0,52234,0,1,1,5,5,5
25,20,0,3,1,2,2,1,22123,0,1,1,2,4,4
25,23,1,1,1,2,3,1,85001,0,1,2,1,4,4
25,19,1,1,2,2,2,1,111800,0,1,2,4,4,4
25,17,0,1,1,2,1,1,111800,0,1,2,4,4,4
25,21,1,3,1,2,2,1,144436,0,1,2,4,1,2
25,17,0,3,1,2,1,1,144436,0,1,2,4,1,2
25,17,1,1,1,2,1,1,60000,0,1,3,6,9,9
25,20,0,3,1,2,2,1,50000,0,1,1,4,3,3
25,24,1,3,1,2,3,1,14000,1,1,2,2,2,1
25,18,1,3,1,2,3,1,68036,0,1,2,4,3,3
25,18,0,1,1,2,2,1,118275,0,1,1,5,3,1
25,18,1,1,1,2,2,1,118275,0,1,1,5,3,1
25,19,1,3,1,2,2,1,160150,0,1,1,5,1,4
25,16,0,3,1,2,1,0,160150,0,1,1,5,1,4
25,18,1,2,2,2,2,1,91000,0,1,3,4,7,7
25,22,0,3,2,2,3,1,89000,0,1,1,1,3,3
25,20,0,3,2,2,3,1,89000,0,1,1,1,3,3
25,21,0,2,2,2,2,1,51710,0,1,1,1,7,7
25,17,1,1,1,2,1,1,425969,0,1,1,4,1,6
25,23,1,3,1,2,3,1,73000,0,1,1,4,2,2
25,21,0,3,1,2,3,1,73000,0,1,2,4,2,2
25,18,1,1,1,2,1,1,75800,0,1,1,2,1,7
25,21,0,1,1,2,2,1,51700,0,1,2,4,6,6
25,19,1,1,1,2,2,1,51700,0,1,2,4,6,6
25,21,1,1,1,2,2,1,71125,0,1,2,2,6,6
25,23,1,4,2,2,3,1,224266,0,1,3,6,5,5
25,19,0,4,2,2,2,1,224266,0,1,3,6,5,5
25,17,1,1,1,2,1,1,54500,0,1,1,5,1,6
25,16,0,1,1,2,1,0,54500,0,1,1,5,1,6
25,18,0,2,1,2,2,1,64464,0,1,3,3,9,9
25,21,0,2,2,2,2,1,21675,0,1,1,5,7,7
25,18,0,2,1,2,2,1,21675,0,1,1,5,7,7
25,17,0,2,1,2,2,1,21675,0,1,1,5,7,7
25,17,0,3,1,2,1,1,159200,0,1,1,4,1,2
25,21,0,2,1,2,2,1,196070,0,1,1,4,3,3
25,24,0,4,1,2,3,1,58130,1,1,1,6,5,5
25,22,0,4,1,2,2,1,58130,1,1,1,6,5,5
25,21,1,4,1,2,2,1,58130,1,1,1,6,5,5
25,23,0,2,1,2,2,1,0,0,1,1,2,3,3
25,16,0,2,1,2,1,0,10000,0,1,1,2,3,3
25,23,0,1,2,2,3,1,42000,0,1,2,1,4,4
25,18,0,1,1,2,1,1,0,0,1,3,1,5,1
25,24,1,3,1,1,3,1,30000,0,1,2,2,4,4
25,23,0,3,2,1,3,1,30000,0,1,2,2,4,4
25,23,0,2,1,2,1,1,36660,0,1,3,4,3,3
25,20,0,2,1,2,2,1,36660,0,1,3,4,3,3
25,17,0,2,1,2,2,1,121145,0,1,4,5,7,7
25,21,0,4,2,2,2,1,27631,0,1,1,1,5,5
25,21,0,4,2,2,2,1,27631,0,1,1,1,5,5
25,19,0,4,2,2,2,1,27631,0,1,1,1,5,5
25,16,0,1,1,2,3,0,29964,0,1,3,3,4,4
25,20,0,1,1,2,3,1,53624,0,1,3,2,1,6
25,20,0,3,1,2,3,1,122009,0,1,1,3,3,4
25,17,1,1,1,2,1,1,23922,0,1,2,2,3,1
25,19,0,1,1,2,2,1,178544,0,1,1,4,6,1
25,17,1,1,1,2,1,1,178544,0,1,1,4,6,1
25,16,0,1,1,2,1,0,49000,0,1,2,5,1,6
25,19,0,1,1,2,2,1,91180,0,1,1,5,6,1
25,24,0,1,1,2,3,1,86367,0,1,3,4,6,6
25,23,0,1,1,2,3,1,86367,0,1,3,4,6,6
25,22,1,1,1,2,2,1,49129,0,1,2,3,6,6
25,17,1,1,1,2,3,1,20970,0,1,4,3,1,6
25,21,1,1,1,2,2,1,221506,0,1,1,4,3,1
25,19,0,3,1,2,2,1,31200,0,1,1,2,2,2
25,23,1,1,2,1,2,1,30005,0,1,1,2,6,6
25,18,1,3,1,2,3,1,6162,0,1,3,5,2,2
25,17,1,3,1,2,1,1,52022,0,1,1,3,2,2
25,16,1,1,1,2,1,0,156360,0,1,1,3,1,6
25,21,0,1,1,2,2,1,81000,0,1,1,3,7,1
25,18,1,1,2,2,2,1,92350,0,1,1,2,5,5
25,22,1,1,1,2,2,1,67700,0,1,2,4,1,6
25,17,1,1,1,2,1,1,67700,0,1,2,4,1,5
25,23,1,4,2,2,2,1,0,0,1,1,1,5,5
25,24,1,1,1,2,3,1,77000,0,1,1,2,1,6
25,23,0,3,1,1,3,2,35400,0,1,4,3,2,1
25,20,1,3,1,1,3,1,35400,0,1,2,3,2,2
25,17,0,1,1,2,1,1,60040,0,1,1,3,5,5
44,17,1,1,1,2,1,1,39806,0,1,3,4,6,6
44,19,1,1,1,2,3,1,58000,0,1,2,3,1,6
44,16,0,1,1,2,1,0,58000,0,1,2,3,1,6
44,24,0,3,2,2,3,1,443454,0,1,1,2,4,4
44,22,1,1,1,1,3,1,53000,0,1,1,3,6,6
44,24,0,1,1,2,3,1,34000,0,1,1,3,6,6
44,18,1,4,1,2,2,1,185501,0,1,2,4,1,5
44,24,1,1,1,1,3,1,24328,0,1,5,4,6,6
44,17,1,2,1,2,1,1,363023,0,1,1,6,3,1
44,20,0,1,1,2,2,1,58250,0,1,1,5,6,6
44,16,0,2,2,2,1,0,18511,1,1,2,1,3,3
44,24,1,4,2,2,3,1,58025,0,1,1,6,5,5
44,16,1,1,1,2,1,0,3000,0,1,2,4,1,6
44,22,0,2,1,2,3,1,35000,0,1,2,2,3,3
44,20,1,2,2,2,3,1,48758,0,1,2,4,7,7
44,24,0,2,2,2,3,1,48758,0,1,2,4,7,7
44,22,1,3,1,2,3,1,11010,0,0,2,3,2,2
44,23,0,4,2,2,2,1,7856,0,1,2,1,5,5
44,20,0,3,2,2,3,1,10000,0,1,2,2,3,3
44,18,1,3,2,2,3,1,10000,0,1,1,2,3,3
44,19,0,3,1,2,3,1,10434,0,1,1,3,3,3
44,16,1,3,1,2,1,0,10434,0,1,1,3,3,3
44,24,1,3,1,2,1,1,65500,0,1,1,5,3,3
44,23,0,3,2,1,3,1,44324,0,1,3,3,3,3
44,21,1,3,1,1,3,1,44324,0,1,3,3,3,3
44,18,1,2,1,2,3,1,47361,0,1,1,4,3,1
44,16,1,2,1,2,1,0,47361,0,1,1,4,3,1
44,18,1,3,1,3,3,1,2000,1,1,1,5,2,2
44,17,1,3,1,3,3,1,2000,1,1,3,5,2,2
44,24,1,2,1,2,2,1,28402,0,1,2,7,7,7
44,23,1,2,2,2,2,1,86500,0,1,2,5,7,6
44,20,0,2,2,2,2,1,86500,0,1,1,5,7,7
44,19,1,1,1,2,2,1,59585,0,1,1,3,6,6
44,18,0,3,1,2,1,1,30000,1,1,4,3,3,4
44,21,1,3,2,2,3,1,19921,0,1,3,4,3,3
44,21,1,3,1,1,3,1,20006,0,1,2,3,2,2
44,20,1,3,1,2,3,1,48037,0,0,3,2,4,4
44,19,1,3,1,2,3,1,15672,1,1,3,2,2,2
44,24,1,1,2,1,2,1,33600,0,1,1,2,5,5
44,23,1,1,2,2,3,1,40000,0,1,3,1,7,7
44,16,1,2,1,2,3,0,86010,0,1,3,2,7,7
44,16,1,2,2,1,3,0,86010,0,1,2,1,7,7
44,16,0,2,2,2,1,0,86010,0,1,2,1,7,7
44,16,1,2,2,2,1,0,86010,0,1,1,1,7,7
44,16,1,2,2,2,1,0,86010,0,1,1,1,7,7
44,16,0,2,2,2,1,0,86010,0,1,1,1,7,7
44,18,1,1,1,2,2,1,37493,0,1,3,4,6,6
44,16,1,1,1,2,1,0,37493,0,1,3,4,6,6
44,17,1,1,1,2,1,1,37300,0,1,1,3,1,6
44,21,0,1,1,2,3,1,78777,0,1,2,4,6,6
44,17,0,1,1,2,1,1,13477,1,1,1,3,4,4
44,23,1,1,1,2,2,1,489399,0,1,3,4,1,3
44,19,0,1,1,2,3,1,127117,0,1,2,6,6,3
44,18,0,1,1,2,3,1,127117,0,1,2,6,6,3
44,19,0,1,1,2,2,1,69904,0,1,1,3,1,6
44,22,0,4,1,2,3,1,83498,0,1,3,7,5,5
44,24,1,4,2,2,3,1,83498,0,1,3,7,5,5
44,17,1,1,1,2,1,1,13000,1,1,2,2,7,7
44,19,0,3,1,2,3,1,22000,0,1,3,2,4,4
44,17,1,3,1,2,1,1,45167,0,1,2,4,2,2
44,16,0,4,1,2,1,0,27531,0,1,2,2,1,5
44,16,1,3,2,2,1,0,63032,0,1,3,5,3,3
44,20,1,3,1,1,3,1,24776,0,1,3,2,1,3
44,21,1,3,1,2,3,1,18480,0,1,1,2,3,3
44,21,0,3,1,2,3,1,37500,0,1,3,2,4,4
44,20,0,3,2,2,3,1,24500,0,1,3,1,3,3
44,23,1,1,1,2,2,1,113548,0,1,3,2,1,6
