school_type_1,gada,act_composite,sat_total,grad_rate,ayp_over_status,years_ayp,admin_avg_salary,admmas_pnt,admin_fte_total,admin_male,admin_female,admin_avg_year_exp,saratio,tch_avg_salary,tch_fte_total,tch_male,tch_female,tch_avg_year_exp,tchmas_pnt,stratio,fte_total,asian_pct,black_pct,hisp_pct,natamer_pct,multi_pct,other_pct,white_pct,female_pct,male_pct,fr_lunch_pct,swd_pct,lep_pct,truancy_pct,total_disc_action,total_disc_students,disc_action_ps,oss_per,exp_per,alt_per,iss_per,corp_per,adm_bk_pnt,adm_wt_pnt,adm_hp_pnt,adm_as_pnt,adm_ind_pnt,adm_mult_pnt,adm_other_pnt,tch_bk_pnt,tch_wt_pnt,tch_hp_pnt,tch_as_pnt,tch_ind_pnt,tch_mult_pnt,tch_other_pnt
4,40,NA,821,63,0,0,73.55425,100,2,1,1,18,249.5,44.202709197998,33.25,17,16,12.0606060028076,42.424243927002,15.1212120056152,499,0.00200400804169476,0.276553094387054,0.168336674571037,0.00400801608338952,0,0.00400801608338952,0.549098193645477,0.472945898771286,0.527054131031036,0.687374770641327,0.134268537163734,0.0163934417068958,0.0547445267438889,470,208,0.941883742809296,0.110638298094273,0,0.0382978729903698,0.540425539016724,0.274468094110489,0,1,0,0,0,0,0,0.060606062412262,0.939393937587738,0,0,0,0,0
4,10,16.3999996185303,820,78,0,0,75.369,100,4,2,2,18.25,249,50.4022369384766,58.8889999389648,17,42,12.2372884750366,64.4067764282227,16.8813552856445,996,0.00702811265364289,0.923694789409637,0.0190763045102358,0.00200803205370903,0.0170682724565268,0.0190763045102358,0.0311244986951351,0.504016041755676,0.495983928442001,0.763052225112915,0.134538158774376,0.0441810339689255,0.237205520272255,1256,444,1.26104414463043,0.537420392036438,0,0.00796178355813026,0.453821659088135,0,0.5,0.5,0,0,0,0,0,0.644067823886871,0.288135588169098,0,0.0338983051478863,0.0169491525739431,0.0169491525739431,0.0169491525739431
4,190,NA,916,75,0,0,68.6520352941176,100,2.54999995231628,1,2,14.6666669845581,171.66667175293,48.8997764587402,33.8300018310547,18,20,14.9736843109131,57.8947372436523,13.5526313781738,515,0.00582524249330163,0.22718445956707,0.0233009699732065,0,0.0135922329500318,0.0135922329500318,0.730097115039825,0.49320387840271,0.50679612159729,0.485436886548996,0.130097091197968,0.00835073087364435,0.182142853736877,369,162,0.716504871845245,0.140921413898468,0.0108401086181402,0.00813008099794388,0.742547452449799,0.0243902429938316,0,1,0,0,0,0,0,0.0263157896697521,0.973684191703796,0,0,0,0,0
4,220,18.2999992370605,902,70.4000015258789,0,0,71.8696571428571,90,8.75,6,4,21.2999992370605,161.699996948242,47.3753128051758,97.9000015258789,32,68,15.3299999237061,56,16.1700000762939,1617,0.0055658626370132,0.500309228897095,0.026592455804348,0.000618429214227945,0.00371057516895235,0.00432900432497263,0.463203459978104,0.51453310251236,0.485466927289963,0.565862715244293,0.100803956389427,0.0090732341632247,0.154657289385796,1099,481,0.679653704166412,0.315741568803787,0.00363967241719365,0.00636942684650421,0.554140150547028,0,0.300000011920929,0.699999988079071,0,0,0,0,0,0.140000000596046,0.860000014305115,0,0,0,0,0
4,130,18.2999992370605,914,56.9000015258789,0,0,77.89948,100,5,2,3,17.2000007629395,283,42.9038200378418,106.540000915527,27,80,11.6168222427368,52.3364486694336,13.2242994308472,1415,0.0162544175982475,0.657950520515442,0.0120141338557005,0.000706713763065636,0.00848056562244892,0.00918727926909924,0.304593652486801,0.522968173027039,0.477031797170639,0.481978803873062,0.211307421326637,0.00990098994225264,0.19228295981884,2714,684,1.9180212020874,0.736182749271393,0.00478997780010104,0,0.22844509780407,0.00221075909212232,0.400000005960464,0.600000023841858,0,0,0,0,0,0.261682242155075,0.738317728042603,0,0,0,0,0
4,70,19.7000007629395,996,71.0999984741211,0,0,69.8961066666667,100,3,2,1,22.3333339691162,229,47.8474655151367,41.9700012207031,22,22,13.0681819915771,52.2727279663086,15.6136360168457,687,0.0189228523522615,0.0305676851421595,0.0422125197947025,0,0.00582241639494896,0.00582241639494896,0.902474522590637,0.505094587802887,0.494905382394791,0.433770000934601,0.145560413599014,0.0158227849751711,0.169787764549255,407,172,0.592430830001831,0.208845213055611,0.00982800964266062,0.0171990171074867,0.660933673381805,0,0,1,0,0,0,0,0,0.0454545468091965,0.954545438289642,0,0,0,0,0
4,50,16.3999996185303,833,73.6999969482422,0,0,73.5316179750486,84.2105255126953,5.94530820846558,8,11,13.7894735336304,70.4210510253906,49.5794448852539,98.8227767944336,31,68,11.0404043197632,61.6161613464355,13.5151519775391,1338,0.00672645727172494,0.962630808353424,0.0156950671225786,0.000747384154237807,0.0082212258130312,0.00896861031651497,0.00597907323390245,0.485799700021744,0.514200270175934,0.476083695888519,0.171898350119591,0.0146604934707284,0.281672805547714,2624,754,1.9611359834671,0.428734749555588,0.000381097546778619,0.0152439028024673,0.53125,0,0.89473682641983,0.105263158679008,0,0,0,0,0,0.707070708274841,0.272727280855179,0.0202020201832056,0,0,0,0
4,30,15.1000003814697,757,49.4000015258789,0,0,64.1634883333333,100,6,2,4,15.6666669845581,211.66667175293,43.9696388244629,66.379997253418,18,48,14.4090909957886,40.9090919494629,19.2424240112305,1270,0.00236220471560955,0.953543305397034,0.0062992125749588,0,0.00866141729056835,0.00866141729056835,0.0291338581591845,0.513385832309723,0.486614167690277,0.668503940105438,0.111811026930809,0,0.221451103687286,1601,650,1.26062989234924,0.725796401500702,0.0462211109697819,0,0.151155531406403,0,0.833333313465118,0.16666667163372,0,0,0,0,0,0.636363625526428,0.333333343267441,0.0151515156030655,0.0151515156030655,0,0,0
4,120,19.7999992370605,947,70.6999969482422,0,0,72.3079763205829,91.6666641235352,10.9799995422363,4,8,19.4166660308838,229.25,48.1178741455078,164.020004272461,67,103,11.6470584869385,64.1176452636719,16.18235206604,2751,0.1134133040905,0.364231199026108,0.28571429848671,0.00109051249455661,0.030897855758667,0.0319883674383163,0.204652860760689,0.508542358875275,0.491457641124725,0.51872044801712,0.0865139961242676,0.164743334054947,0.145691260695457,2256,915,0.820065438747406,0.308067381381989,0,0.0483156032860279,0.585106372833252,0,0.25,0.666666686534882,0,0,0,0.0833333358168602,0.0833333358168602,0.135294124484062,0.782352924346924,0.0294117648154497,0.0352941192686558,0.0117647061124444,0.0058823530562222,0.095098040997982
4,190,19.1000003814697,985,79.5999984741211,0,0,78.9376333333333,100,3,2,1,20.6666660308838,290.333343505859,47.5130653381348,51.5387992858887,23,31,15.1481485366821,62.962963104248,16.1296291351318,871,0.0022962111979723,0.156142368912697,0.0183696895837784,0,0.00114810559898615,0.00114810559898615,0.822043657302856,0.530424773693085,0.469575196504593,0.435132026672363,0.0826636031270027,0,0.069035530090332,1256,368,1.44202065467834,0.0995222926139832,0.00159235671162605,0.00159235671162605,0.718949019908905,0.145700633525848,0,1,0,0,0,0,0,0.0555555559694767,0.944444417953491,0,0,0,0,0
4,370,NA,1028,74.0999984741211,1,1,68.5038052262552,70,3.55130004882812,5,5,20.2999992370605,67,47.6736907958984,39.0661506652832,13,29,15.0952377319336,69.0476226806641,15.9523811340332,670,0.00597014930099249,0.27313432097435,0.00895522348582745,0,0.00746268639340997,0.00746268639340997,0.704477608203888,0.489552229642868,0.51044774055481,0.431343287229538,0.117910444736481,0.00635930057615042,0.103448279201984,508,205,0.758208930492401,0.188976377248764,0,0,0.746062994003296,0,0.100000001490116,0.899999976158142,0,0,0,0,0,0.0476190485060215,0.952380955219269,0,0,0,0,0
4,165,19,951,72.8000030517578,1,2,80.946285,100,2,2,0,22.5,218,51.2241134643555,24.5568809509277,10,15,15.5200004577637,68,17.4400005340576,436,0,0.151376143097878,0.006880734115839,0,0.013761468231678,0.013761468231678,0.827981650829315,0.51146787405014,0.488532096147537,0.571100890636444,0.146788984537125,0.00248756213113666,0.0997876822948456,142,78,0.325688064098358,0.422535210847855,0.0281690135598183,0.0845070406794548,0.394366204738617,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4,0,NA,907,73.5,0,0,69.3301762608086,85,8.55799961090088,8,12,19.25,94.3000030517578,47.7069320678711,114.239936828613,41,73,14.3508768081665,53.5087738037109,16.5438594818115,1886,0.0222693532705307,0.591728508472443,0.0763520672917366,0.00212089088745415,0.0673382803797722,0.0694591701030731,0.240190878510475,0.501590669155121,0.498409330844879,0.437963932752609,0.0965005308389664,0.00628930795937777,0.140326976776123,1512,523,0.801696717739105,0.416666656732559,0.0112433861941099,0.0158730167895555,0.494047611951828,0,0.200000002980232,0.800000011920929,0,0,0,0,0,0.192982450127602,0.789473712444305,0.0175438597798347,0,0,0,0
4,100,18.6000003814697,910,65.5999984741211,0,0,75.959785,100,4,3,1,21.5,218.5,43.6867256164551,51.0378494262695,23,30,11.1886796951294,47.1698112487793,16.4905662536621,874,0.00228832941502333,0.0491990856826305,0.00457665883004665,0.00114416470751166,0.00343249435536563,0.00457665883004665,0.939359247684479,0.495423346757889,0.504576683044434,0.490846693515778,0.0766590386629105,0,0.220942407846451,1155,312,1.32151031494141,0.214718610048294,0,0,0.69523811340332,0.00259740254841745,0,1,0,0,0,0,0,0,0.981132090091705,0.0188679248094559,0,0,0,0
4,415,18.3999996185303,989,93.3000030517578,1,6,77.5842346596859,100,1.9099999666214,1,2,20.3333339691162,150.33332824707,49.5880279541016,27.6000003814697,12,19,14.6129035949707,77.4193572998047,14.5483875274658,451,0.00665188487619162,0.0687361434102058,0,0,0,0,0.924611985683441,0.498891353607178,0.501108646392822,0.117516629397869,0.133037701249123,0,0.0754716992378235,202,128,0.447893559932709,0.0891089141368866,0,0.00495049497112632,0.900990128517151,0.00495049497112632,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4,26.6599998474121,15.8000001907349,841,56.2000007629395,0,0,70.2771533333333,100,3,1,2,22.6666660308838,205.66667175293,46.7692489624023,45.8429985046387,15,32,15.638298034668,44.680850982666,13.1276597976685,617,0.00486223679035902,0.6385737657547,0.022690437734127,0.00486223679035902,0.00162074551917613,0.0064829820767045,0.327390611171722,0.463533222675323,0.536466777324677,0.65153968334198,0.147487848997116,0.0119453929364681,0.23275862634182,1151,316,1.86547815799713,0.202432662248611,0.00173761951737106,0,0.675065159797668,0,0.333333343267441,0.666666686534882,0,0,0,0,0,0.361702114343643,0.638297855854034,0,0,0,0,0
4,670,23.7000007629395,1099,96.1999969482422,1,5,77.3612494252874,100,8.69999980926514,2,8,21.3999996185303,315.899993896484,53.4907875061035,172.309997558594,63,118,16.9337024688721,72.9281768798828,17.4530391693115,3159,0.0838873088359833,0.100664764642715,0.0462171584367752,0.000633111747447401,0.0227920226752758,0.0234251338988543,0.745805621147156,0.492560923099518,0.507439076900482,0.0918012037873268,0.0918012037873268,0.0202415939420462,0.064055860042572,1195,456,0.378284275531769,0.329707115888596,0.00251046032644808,0.0292887035757303,0.511297047138214,0,0.100000001490116,0.899999976158142,0,0,0,0,0,0.0331491716206074,0.944751381874084,0.0110497241839767,0.0110497241839767,0,0,0
4,50,20.2999992370605,1010,61,0,0,73.875,100,5,2,3,20,346.399993896484,50.1528663635254,103.970001220703,38,68,15.2547168731689,55.6603775024414,16.3396224975586,1732,0.00923787523061037,0.421478062868118,0.0213625859469175,0.00173210166394711,0,0.00173210166394711,0.546189367771149,0.498267889022827,0.501732110977173,0.371824473142624,0.133949190378189,0.0105198016390204,0.105671353638172,2370,604,1.3683602809906,0.306329101324081,0.00632911408320069,0.00084388186223805,0.600000023841858,0,0.400000005960464,0.600000023841858,0,0,0,0,0,0.122641511261463,0.858490586280823,0.0188679248094559,0,0,0,0
4,80,16,912,72.4000015258789,1,1,74.422075,100,2,1,1,19,257,45.3269729614258,34,13,21,14.9117650985718,38.235294342041,15.1176471710205,514,0,0.291828781366348,0.00778210116550326,0,0.00194552529137582,0.00194552529137582,0.698443591594696,0.529182851314545,0.470817118883133,0.496108949184418,0.10311283916235,0,0.171985819935799,494,209,0.961089491844177,0.206477731466293,0.0323886647820473,0.0121457492932677,0.647773265838623,0,0,1,0,0,0,0,0,0.0294117648154497,0.941176474094391,0,0.0294117648154497,0,0,0
4,380,19.7999992370605,1010,89.1999969482422,1,6,92.716512,100,5,3,2,24,148,56.7748184204102,44.75,20,25,15.2444448471069,64.4444427490234,16.4444446563721,740,0.0121621619910002,0.163513511419296,0.135135129094124,0.0013513513840735,0.0229729730635881,0.0243243239820004,0.664864838123322,0.472972959280014,0.527027010917664,0.314864873886108,0.125675678253174,0.0456490740180016,0.0639899596571922,104,66,0.140540540218353,0.509615361690521,0.0384615398943424,0,0.125,0,0.200000002980232,0.800000011920929,0,0,0,0,0,0.0444444455206394,0.955555558204651,0,0,0,0,0
4,110,17.3999996185303,905,50.0999984741211,0,0,78.1816339285714,100,5.59999990463257,5,1,19.6666660308838,196.16667175293,47.966423034668,74.4000015258789,29,46,14.3199996948242,54.6666679382324,15.6933336257935,1177,0.00169923529028893,0.657604098320007,0.0067969411611557,0.000849617645144463,0.00339847058057785,0.00424808822572231,0.329651653766632,0.531011044979095,0.468988955020905,0.65080714225769,0.0977060347795486,0,0.109276726841927,4582,789,3.89294815063477,0.183544307947159,0.00436490634456277,0.00305543420836329,0.756874740123749,0,0.16666667163372,0.833333313465118,0,0,0,0,0,0.253333330154419,0.746666669845581,0,0,0,0,0
4,10,18.2999992370605,843,62.4000015258789,0,0,69.398665,100,4,2,2,15,292,44.9158096313477,77.7300033569336,30,49,12.544303894043,51.8987350463867,14.7848100662231,1168,0.00256849313154817,0.83219176530838,0.0248287674039602,0,0.0248287674039602,0.0248287674039602,0.115582190454006,0.485445201396942,0.514554798603058,0.554794549942017,0.104452051222324,0,0.293632954359055,2373,689,2.03167819976807,0.735777497291565,0,0,0.257058560848236,0,0.5,0.5,0,0,0,0,0,0.354430377483368,0.569620251655579,0.0379746817052364,0.0126582281664014,0,0.0253164563328028,0
