state_fips_code,state,year,fertility,waiver,tanf,percapinc,emp_all,emp_s,emp_r,earn_all,earn_s,earn_r,ur,popdens,rgov,rpres,ba
15,"Hawaii",2000,69.0999984741211,0,1,28.4220008850098,630849,249208,137471,30.5410003662109,22.7070007324219,15.9329996109009,4.30000019073486,188.600006103516,0,0.316000014543533,26.2999992370605
15,"Hawaii",2001,71.4000015258789,0,1,28.7479991912842,635362,252904,137139,31.3040008544922,23.1800003051758,16.3290004730225,4.19999980926514,190.580001831055,0,0.375,27.8999996185303
15,"Hawaii",2002,68.5999984741211,0,1,29.4640007019043,635964,265869,135587,32.8979988098145,23.5540008544922,16.8129997253418,4.09999990463257,192.559997558594,0,0.375,26.7999992370605
15,"Hawaii",2003,72.3000030517578,0,1,30.5359992980957,647168,274427,138153,34.1370010375977,24.4039993286133,17.5310001373291,3.90000009536743,194.539993286133,1,0.375,27
15,"Hawaii",2004,74,0,1,32.625,663442,282209,144355,35.7509994506836,25.4909992218018,18.0370006561279,3.29999995231628,196.520004272461,1,0.375,26.6000003814697
16,"Idaho",1974,92.5999984741211,0,0,5.34100008010864,284223,65127,62884,7.61100006103516,4.48000001907349,4.70800018310547,6,9.72000026702881,0,0.642000019550323,14.6000003814697
16,"Idaho",1975,88.5999984741211,0,0,5.55999994277954,293303,68228,60564,8.36900043487549,4.91800022125244,4.86100006103516,7.40000009536743,10,0,0.642000019550323,14.8000001907349
16,"Idaho",1976,90.0999984741211,0,0,6.08799982070923,309022,73373,65362,9.06700038909912,5.27799987792969,5.19600009918213,5.40000009536743,10.2799997329712,0,0.642000019550323,15
16,"Idaho",1977,96.5,0,0,6.4689998626709,324989,78187,69259,9.76399993896484,5.86199998855591,5.53999996185303,5.59999990463257,10.5600004196167,0,0.592999994754791,15.1999998092651
16,"Idaho",1978,92.6999969482422,0,0,7.23999977111816,347983,84692,74290,10.4790000915527,6.44299983978271,5.93900012969971,5.5,10.8400001525879,0,0.592999994754791,15.3999996185303
16,"Idaho",1979,94.5999984741211,0,0,7.78900003433228,357958,88623,74639,11.3380002975464,7.12099981307983,6.36399984359741,5.80000019073486,11.1199998855591,0,0.592999994754791,15.6000003814697
16,"Idaho",1980,93.9000015258789,0,0,8.64799976348877,348731,90300,72772,12.456000328064,7.95599985122681,6.92399978637695,7.90000009536743,11.3999996185303,0,0.592999994754791,15.8000001907349
16,"Idaho",1981,90,0,0,9.38700008392334,345930,90538,72607,13.6870002746582,8.6870002746582,7.30900001525879,7.59999990463257,11.4799995422363,0,0.665000021457672,16
16,"Idaho",1982,89.5999984741211,0,0,9.62100028991699,331835,92568,71616,14.3100004196167,9.04800033569336,7.40399980545044,9.80000019073486,11.5600004196167,0,0.665000021457672,16.2000007629395
16,"Idaho",1983,85.1999969482422,0,0,10.3299999237061,338534,95593,72165,14.918999671936,9.41600036621094,7.91599988937378,9.80000019073486,11.6400003433228,0,0.665000021457672,16.3999996185303
16,"Idaho",1984,81.1999969482422,0,0,11.0740003585815,350755,97257,75802,15.5050001144409,9.69699954986572,8.31799983978271,7.19999980926514,11.7200002670288,0,0.665000021457672,16.5
16,"Idaho",1985,79.0999984741211,0,0,11.6409997940063,370334,102150,77182,15.8900003433228,10.0209999084473,8.45600032806396,7.90000009536743,11.8000001907349,0,0.723999977111816,16.7000007629395
16,"Idaho",1986,74.4000015258789,0,0,11.9490003585815,369524,105422,76186,16.05299949646,10.2950000762939,8.72399997711182,8.69999980926514,11.8800001144409,0,0.723999977111816,16.8999996185303
16,"Idaho",1987,72.6999969482422,0,0,12.5539999008179,376208,109172,80575,16.4080009460449,10.6300001144409,8.55500030517578,8,11.960000038147,0,0.723999977111816,17.1000003814697
16,"Idaho",1988,72.1999969482422,0,0,13.4930000305176,392395,118020,84047,17.0860004425049,10.7670001983643,8.85999965667725,5.80000019073486,12.039999961853,0,0.723999977111816,17.2999992370605
16,"Idaho",1989,72.5,0,0,14.7290000915527,409988,121995,88365,17.6690006256104,11.298999786377,9.11699962615967,5.09999990463257,12.1199998855591,0,0.620999991893768,17.5
16,"Idaho",1990,74.1999969482422,0,0,15.7239999771118,428737,129118,92021,18.576000213623,12.0050001144409,9.46700000762939,5.90000009536743,12.1999998092651,0,0.620999991893768,17.7000007629395
16,"Idaho",1991,73.0999984741211,0,0,16.0300006866455,441710,136851,96135,19.2999992370605,12.3540000915527,9.72599983215332,6.19999980926514,12.539999961853,0,0.620999991893768,18
16,"Idaho",1992,73.5,0,0,17.0930004119873,460421,141114,100903,20.1870002746582,13.3909997940063,10.2200002670288,6.5,12.8800001144409,0,0.620999991893768,18.3999996185303
16,"Idaho",1993,72.0999984741211,0,0,18.1030006408691,480735,148752,104814,20.757999420166,13.6370000839233,10.5790004730225,6.19999980926514,13.2200002670288,0,0.419999986886978,18.7000007629395
16,"Idaho",1994,70.3000030517578,0,0,18.7070007324219,503486,160886,114738,21.6410007476807,13.4519996643066,10.5559997558594,5.59999990463257,13.5600004196167,0,0.419999986886978,19
16,"Idaho",1995,70.5,0,0,19.4260005950928,520718,166031,118432,22.4710006713867,14.8459997177124,10.8599996566772,5.40000009536743,13.8999996185303,1,0.419999986886978,19.2999992370605
16,"Idaho",1996,71.3000030517578,0,0,20.2479991912842,535460,173366,123379,22.9409999847412,15.1300001144409,11.1420001983643,5.19999980926514,14.2399997711182,1,0.419999986886978,19.7000007629395
16,"Idaho",1997,70.3000030517578,0,0.5,20.6480007171631,549929,181734,126667,23.7810001373291,15.6529998779297,11.5509996414185,5.30000019073486,14.5799999237061,1,0.522000014781952,20
16,"Idaho",1998,72.3000030517578,0,1,21.7889995574951,570024,191418,128550,24.44700050354,16.0890007019043,12.2650003433228,5,14.9200000762939,1,0.522000014781952,20.2999992370605
16,"Idaho",1999,73.1999969482422,0,1,22.7859992980957,587296,198091,130309,25.5809993743896,16.8050003051758,13.1070003509521,5.19999980926514,15.2600002288818,1,0.522000014781952,20.7999992370605
16,"Idaho",2000,73.3000030517578,0,1,24.0750007629395,610881,209694,134553,27.0939998626709,17.7859992980957,13.5659999847412,4.90000009536743,15.6000003814697,1,0.522000014781952,20
16,"Idaho",2001,75.4000015258789,0,1,25.0189990997314,620855,217341,135738,27.1879997253418,18.632999420166,14.2019996643066,4.90000009536743,15.9399995803833,1,0.671999990940094,21.2000007629395
16,"Idaho",2002,73.8000030517578,0,1,25.1849994659424,622469,230291,137319,27.7210006713867,18.7609996795654,14.03600025177,5.40000009536743,16.2800006866455,1,0.671999990940094,20.8999996185303
16,"Idaho",2003,76,0,1,25.3299999237061,626708,237236,139478,28.19700050354,19.0949993133545,14.4219999313354,5.30000019073486,16.6200008392334,1,0.671999990940094,22.5
16,"Idaho",2004,77.3000030517578,0,1,26.8770008087158,642735,246471,142744,29.3169994354248,19.7560005187988,14.9350004196167,4.69999980926514,16.9599990844727,1,0.671999990940094,23.7999992370605
17,"Illinois",1974,68.9000015258789,0,0,6.45300006866455,4741127,1027537,831783,9.9980001449585,6.35699987411499,5.71299982070923,4.5,202.179992675781,0,0.589999973773956,13.3000001907349
17,"Illinois",1975,67.8000030517578,0,0,7.01100015640259,4626943,1053522,818537,10.6590003967285,6.77299976348877,5.93599987030029,8.30000019073486,202.75,0,0.589999973773956,13.8000001907349
17,"Illinois",1976,67,0,0,7.6230001449585,4716008,1092941,844518,11.4359998703003,7.22499990463257,6.39499998092651,6.59999990463257,203.320007324219,0,0.589999973773956,14.3000001907349
17,"Illinois",1977,68.5,0,0,8.36600017547607,4834518,1134293,868076,12.2379999160767,7.74399995803833,6.76700019836426,6.19999980926514,203.889999389648,1,0.500999987125397,14.8000001907349
17,"Illinois",1978,66.8000030517578,0,0,9.22599983215332,4996890,1172687,900825,13.2150001525879,8.47399997711182,7.19999980926514,6,204.460006713867,1,0.500999987125397,15.1999998092651
17,"Illinois",1979,69.5999984741211,0,0,10.1520004272461,5048770,1203933,898878,14.2910003662109,9.18099975585938,7.7189998626709,5.5,205.029998779297,1,0.500999987125397,15.6999998092651
17,"Illinois",1980,71.3000030517578,0,0,11.0050001144409,4918508,1240963,882101,15.5030002593994,9.99699974060059,8.22299957275391,8.30000019073486,205.600006103516,1,0.500999987125397,16.2000007629395
17,"Illinois",1981,69,0,0,12.1960000991821,4907363,1288036,882637,16.7180004119873,10.8929996490479,8.68599987030029,8.5,205.600006103516,1,0.495999991893768,16.7000007629395
